Altium Designer Pick and Place Locations
C:\Users\user\Desktop\Hardware\projects\work\Project Outputs for work\Pick Place for workwork.csv

========================================================================================================================
File Design Information:

Date:       18.10.23
Time:       11:49
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U1","USBLC6-2SC6","TopLayer","SOT_23_6L","350.827","2697.157","0","USBLC6 Series 2 Line 6 V Uni / Bi-Directional ESD Protection - SOT-23-6"
"U7","ESP32-WROOM-32E-N4","BottomLayer","38_SMD","1980.488","675.528","0","SMD module, ESP32-D0WD-V3, ESP32 ECO V3, 4 MB SPI flash, PCB antenna"
"X2","ABS05-32.768KHZ-T","TopLayer","2-SMD,_No_Lead","1225.500","2367.500","270","CRYSTAL 32.768kHz ±20ppm Crystal 12.5pF 90 kOhm -40°C ^ 85°C Surface Mount 2-SMD"
"X1","ECS-160-20-30B-TR","TopLayer","4-SMD,_No_Lead","965.000","1382.000","50","Crystal 16MHz ±30ppm (Tol) ±100ppm (Stability) 20pF FUND 50Ohm 4-Pin SMD T/R"
"VR1","AP7361EA-33E-13","TopLayer","SOT223","1855.000","2107.000","90","Ldo Cmos Hicurr SOT223 T&r 2.5K"
"VR2","LM2675MX-12/NOPB","TopLayer","8_SOIC","2170.000","2392.000","90","SIMPLE SWITCHER® 6.5V to 40V, 1A Low Component Count Step-Down Regulator 8-SOIC -40 to 125"
"U5","OPA314AIDBVR","TopLayer","SOT_23_5","2969.000","834.000","180","IC OPAMP GP 3MHZ RRO SOT23-5"
"U6","NCS36000DRG","TopLayer","14_SOIC","3214.776","515.500","0","NCS36000 Series Single 5.75V Passive Infrared Detector Controller (PIR) -SOIC-14"
"U3","MAX6662MSA+","TopLayer","8_SOIC","1360.000","1942.000","90","Temp Sensor Digital Serial (3-Wire, SPI) 8-Pin SOIC N Tube"
"U4","M41T0M6F","TopLayer","8_SOIC","1460.000","2302.000","0","M41T0 Series 2 to 5.5 V Serial I2C Real Time Clock Surface Mount - SOIC-8"
"U2","STM32F103C6T6A","TopLayer","LQGP48-STM","1320.000","1317.000","0","MCU 32-bit STM32F ARM Cortex M3 RISC 32KB Flash 2.5V/3.3V 48-Pin LQFP Tray"
"TH1","TFPT1206L1002FM","TopLayer","RE_1206","3163.000","806.413","90","Thermistor PTC 10K Ohm 1% 2-Pin 1206 Surface Mount Solder Pad T/R Automotive"
"T1","BV302S12010","TopLayer","BV_302","1218.701","2963.299","180","Sealed Transformer EI30/10.5"
"SW1","EG1215AA","TopLayer","EG1215AA","2220.945","95.779","0","Slide Switch, SPDT, 0.025A, 24V, SMD"
"S1","LHI 878/3902","BottomLayer","LHI_878/3902","3116.000","235.697","315","Sensor PIR (Passive Infrared) TO-205AA, TO-5-3 Metal Can"
"R32","RC0402FR-071KL","BottomLayer","RE_0603","2748.000","292.500","225","SMD Chip Resistor, 1 kOhm, ± 1%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose"
"R26","RC0402JR-0710KL","TopLayer","RE_0402","3145.000","943.500","180","SMD Chip Resistor, 10 kOhm, ± 5%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose"
"R20","RC0603JR-07220KL","TopLayer","RE_0603","2684.500","827.500","180","SMD Chip Resistor, 220 kOhm, ± 5%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
